-11.9 1.2 5 10.5 12.8
18.4 18 16.6 12.5 10.1
3.1 1 -4.1 1.4 0.9
6.5 13.9 15.7 16.6 15.8
12 7.2 2.4 -5.1 -9.7
2 -0.7 7.6 14.1 18.2
18.2 18.1 11.9 7.6 3.8
0.8 -1.4 -0.7 2.1 10.2
9.9 15.3 17.4 17.6 12.8
11.2 1.8 0.6 2 0
-0.4 3.5 13.6 18 20
18.4 13.6 7.7 4.3 3.5
0.6 -2.8 -4.4 4.2 12.3
17.9 19.4 17 13.5 8.6
1.4 -4.5 -2.1 -1 2.2
6.5 14.4 15.7 19.2 16.8
12.5 8.7 0.5 1 -4
-10.3 0.3 5.9 11.3 17.7
17.9 17.4 12.4 10.9 1.3
-7.7 -0.9 -0.5 -0.2 8.9
11.3 16.5 16.1 15.6 12.7
10 -0.3 0.6 -2.9 -4.1
1.4 7.6 12.3 17.3 18.9
20.2 14.9 11 0.7 2.2
-3.7 -7.7 -0.3 6.7 12.4
19.5 19.4 19 14.9 9.5
-1.6 -1.9 0.6 2.5 5.3
7.4 14.1 17.7 20.4 20.4
13.3 8.9 2.9 -4.1 0.5
-2.5 0.8 8.4 13.9 17.4
17.5 17 13.8 6.8 1.1
-3.3 -7.4 1.8 4.8 5.2
10.4 19.5 19.8 18.4 12.9
8.9 4 0 -4.4 -2.4
4 8.3 15.5 16.4 16.9
17.3 14.5 10.4 1.1 -2.9
2.2 2.4 4.2 7.7 13.1
17.1 16.3 18.7 13.8 11.3
4.1 1.9 -5.1 -1 4
5.5 9 17.8 16.9 14.6
13 7.3 1.1 -4.2 -1.2
-7 -0.3 8.5 17.3 14.3
21.4 17.1 13.8 8 4.5
1.3 2.9 2.5 1.7 9.4
10.6 20.1 17.4 16 16.3
6 3.6 0.6 -1.3 2.7
-1 7.1 10.9 16.7 16.9
18.1 13.8 8 1.3 -3.9
-3.5 2.2 2.8 6.9 15.4
15.7 19.5 18.7 15.3 8.9
0.7 0.1 -2.3 3.2 1
9.6 13.8 14 19.3 16.4
14.1 6.8 2.1 -0.6 -2
-10 -0.8 6.5 12.8 15.4
18.3 16.6 12 7.4 4.1
-7.8 -8.4 -5.6 3.7 5.2
8.8 14.5 18.7 17.3 12.4
4.8 1.1 -6 -0.8 -1.1
4 9.8 15.2 16.1 18.4
16.2 14.5 10.9 6.4 0
1.7 -2.1 3.5 5.5 9.8
16.6 19.7 19 12.5 9
4.1 1.3 0.1 -0.7 2
7.9 8.9 16.7 20.4 16.1
16.2 9.9 0.9 -2 -1.7
-6.5 -1.8 5.9 13.1 19.5
18.7 19.1 12.7 5.4 0.1
-4.8 -6.1 -0.1 3 8.8
9.2 18.6 18.9 18.2 13.1
9.6 -0.6 -2.4 0.6 0.8
0.6 5.4 10.5 18.7 18.7
